STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Parc Père-Marquette (Chambord / Rosemont),Rosemont - La Petite-Patrie,45.5370878330133,-73.5932184755802,Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,45.5668830910952,-73.5394381731749,1745255588522,1745257164074
Bassin Peel (Smith / de la Commune),Le Sud-Ouest,45.4927225362334,-73.5562723875046,Parc de Dieppe (Pierre-Dupuy),Ville-Marie,45.5018634634356,-73.5439610481262,1745244688892,1745246489536
Chambord / Gilford,Le Plateau-Mont-Royal,45.531495896911,-73.5810687766207,Chambord / Gilford,Le Plateau-Mont-Royal,45.531495896911,-73.5810687766207,1745244456865,1745244458769
Clark / Laurier,Le Plateau-Mont-Royal,45.5225503282284,-73.5935054719448,Marie-Anne / St-Hubert,Le Plateau-Mont-Royal,45.5246829812827,-73.5788968205452,1745243958927,1745244342233
Clark / Laurier,Le Plateau-Mont-Royal,45.5225503282284,-73.5935054719448,Fairmount / Hutchison,Le Plateau-Mont-Royal,45.5196906418493,-73.5982655640873,1745250523596,1745250795814
Gilford / de Brébeuf,Le Plateau-Mont-Royal,45.5308702477731,-73.581557571888,St-Dominique / Jean-Talon,Villeray—Saint-Michel—Parc-Extension,45.5352039824168,-73.6175217570053,1745251633746,1745253471159
Parc Nicolas-Tillemont (des Érables / Villeray),Villeray—Saint-Michel—Parc-Extension,45.554636533586,-73.6125521577196,Clark / Laurier,Le Plateau-Mont-Royal,45.5225503282284,-73.5935054719448,1745255816491,1745257380584
Marcil / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,45.471743,-73.613924,Hillside / Ste-Catherine,Westmount,45.482846359778,-73.5909104347229,1745249753059,1745250397813
Berri / de Maisonneuve,Ville-Marie,45.5153135057021,-73.561350492082,Marché St-Jacques (Atateken),Ville-Marie,45.5206659924189,-73.5639146839003,1745241092676,1745241358618
Gary-Carter / St-Laurent,Villeray—Saint-Michel—Parc-Extension,45.5361348895366,-73.6225846409798,Graham / Kindersley,Mont-Royal,45.5140806966414,-73.6469498276711,1745249647165,1745250876304
Métro Angrignon (Lamont / des Trinitaires),Le Sud-Ouest,45.4465045019204,-73.6025619506836,de Courcelle / Acorn,Le Sud-Ouest,45.4740086022919,-73.5917846672237,1745242323104,1745244441491
St-André / Ste-Catherine,Ville-Marie,45.5162975408496,-73.5580104589462,Fullum / Ontario,Ville-Marie,45.5303174,-73.5548669,1745237219206,1745237880267
Berri / Cherrier,Le Plateau-Mont-Royal,45.5192661569113,-73.5692971944809,Métro Jarry (Lajeunesse / Jarry),Villeray—Saint-Michel—Parc-Extension,45.5435597418917,-73.6277720332146,1745255754750,1745257534943
Turgeon / Notre-Dame,Le Sud-Ouest,45.4788885280721,-73.5819894075394,Léa-Roback / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.4717036876084,-73.5826894640923,1745248458589,1745248728708
St-Hubert / René-Levesque,Ville-Marie,45.5144819716506,-73.5568732023239,Letourneux / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,45.550783578897,-73.5340999603795,1745249129526,1745250271064
Cathcart / McGill College,Ville-Marie,45.5011876814898,-73.570454878145,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Le Plateau-Mont-Royal,45.5148749035694,-73.5848640650511,1745254544276,1745256649541
de la Roche / Bélanger,Rosemont - La Petite-Patrie,45.5415913568121,-73.6075795348916,St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,45.532264610185,-73.6110632121563,1745244821927,1745245404521
Parc Hilda-Ramacière (de Bullion / Prince-Arthur),Le Plateau-Mont-Royal,45.5156213198234,-73.5721296072006,Parc Hilda-Ramacière (de Bullion / Prince-Arthur),Le Plateau-Mont-Royal,45.5156213198234,-73.5721296072006,1745238827699,1745240042579
